app_id,class_name,method,invocation,method_body,argument_list,number_of_arguments,complexity_score,,,
pl.proget.progetmdm-1022,Key.java,verify,"boolean verify(byte[] bArr, byte[] bArr2) throws ClientException;",-,-,-,-,,,
com.serveture.staffmark-201,MainVerifyAdapter.java,verify,void verify(TimeSheetRequest item);,-,-,-,-,,,
com.trainerize.annasano-809000,JWTClaimsVerifier.java,verify,"@Deprecated
    void verify(JWTClaimsSet jWTClaimsSet) throws BadJWTException;",-,-,-,-,,,
com.nekomeshi312.stardroid-53,Signature.java,verify,boolean verify(byte[] bArr) throws Exception;,-,-,-,-,,,
dk.pifgroupas.pif-210020109,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.connecthr-42,X509HostnameVerifier.java,verify,"void verify(String str, X509Certificate x509Certificate) throws SSLException;",-,-,-,-,,,
mom.social.socialmom-32711,AWSKMS.java,verify,"VerifyResult verify(VerifyRequest verifyRequest) throws AmazonClientException, AmazonServiceException;",-,-,-,-,,,
com.chownow.whiskeyinferno-141,StateAwareSignature.java,verify,"boolean verify(byte[] bArr, int i, int i2) throws SignatureException;",-,-,-,-,,,
dk.pifgroupas.pif-210020109,JOSEObjectTypeVerifier.java,verify,"void verify(JOSEObjectType jOSEObjectType, C c) throws BadJOSEException;",-,-,-,-,,,
com.trainerize.nourishingandflourishing-762000,SSLCertificateVerifier.java,verify,boolean verify(byte[] bArr);,-,-,-,-,,,
au.com.makingthedough-25061,JWSVerifier.java,verify,"boolean verify(JWSHeader jWSHeader, byte[] bArr, Base64URL base64URL) throws JOSEException;",-,-,-,-,,,
com.chronogolf.booking.bridgesatberesford-1006010010,JWTClaimsSetVerifier.java,verify,"void verify(JWTClaimsSet jWTClaimsSet, C c) throws BadJWTException;",-,-,-,-,,,
com.wedup.kliko-630,TransferNetworkConnectionType.java,verify,protected abstract boolean verify(NetworkInfo networkInfo);,-,-,-,-,,,
uk.co.hungrrr.behindthewall-4000200,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.phorest.dexteritysalon-93,StateAwareSignature.java,verify,boolean verify(byte[] bArr) throws SignatureException;,-,-,-,-,,,
com.chronogolf.booking.ospreyridge-1006010010,LMSContextBasedVerifier.java,verify,boolean verify(LMSContext lMSContext);,-,-,-,-,,,
