app_id,,class_name,invocation,argument_list,number_of_arguments,complexity_score
paskov.biz.numberspuzzle-57,,C5627O9.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.techarena.speedometer-18,,zzgnr.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.delhisix.dictionary-10,,zzayi.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.allinoneapps.wxdx1059thexpittsburgh-8,,zzgun.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
uk.co.hungrrr.behindthewall-4000200,,RSA1_5.java,"new SecretKeySpec(doFinal, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
net.arely.noaa_weather_radio_stations_tornado_hurricane_forecast_usa-44,,zzgwj.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.mahamantra.wallpaper-1003,,zzwa.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.expertschoice.become.ias.officer-26,,C2435Yz.java,"new SecretKeySpec(bArr, ""ChaCha20"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.cutcom.apparmor.portagecollege-19,,Kwp.java,"new SecretKeySpec(key, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
donnaipe.parchis-18,,j04.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
tv.canalbrazil.cbtv-38,,zzaxj.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.techarena.speedometer-18,,zzgdi.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.ap.ttd-2024112237,,zzgdi.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.workport-551,,zzme.java,"new SecretKeySpec(bArr2, str)",{'identifier': 2},2,0.2922549165
com.premiumsoftware.lullaby-23,,zzgkq.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.wsimhd2.player-402021,,zzgix.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
au.com.makingthedough-25061,,BcFKSKeyStoreSpi.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.apptegy.fisher-30,,C8750c.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.ProDataDoctor.PeriodicTable-16,,zzgxq.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.videoinvites.app-48,,zzwa.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.andromo.dev137436.app216743-2032,,C5223b.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.ProDataDoctor.PeriodicTable-16,,zzavt.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.ihippo.freejazzmusic-6,,f67.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
be.truthful.app-10,,C1910t4.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
com.weejim.app.sglottery-10195,,zzgmg.java,"new SecretKeySpec(bArr, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
dk.pifgroupas.pif-210020109,,Hkdf.java,"new SecretKeySpec(salt, macAlgorithm)",{'identifier': 2},2,0.2922549165
com.CSambirae.android-1400000,,HMAC.java,"new SecretKeySpec(bArr, str)",{'identifier': 2},2,0.2922549165
com.gallagher.security.commandcentremobile-920024,,AddServerActivity.java,"new SecretKeySpec(key, ""AES"")","{'identifier': 1, 'string_literal': 1}",2,0.2922549165
