APP_ID,CLASS_NAME,INVOCATION,NO. OF ARGUMENTS,COMPLEXITY_SCORE,Comments,,
com.lgeha.nuts-40003504,UnsafeX509ExtendedTrustManager.java,"@Override // javax.net.ssl.X509ExtendedTrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str, SSLEngine sSLEngine) {
  }",0,-1,Empty CheckServerTrusted,,
com.emerchantgateway.android-344,API.java,"@Override // javax.net.ssl.X509ExtendedTrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str, SSLEngine sSLEngine) throws CertificateException {
  }",0,-1,Empty CheckServerTrusted,,
com.etekcity.arizesetup-17,C4794b.java,"@Override // javax.net.ssl.X509TrustManager
  @SuppressLint({""TrustAllX509TrustManager""})
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  }",0,-1,Empty CheckServerTrusted,,
com.kraftwerk9.firetv-2012241446,C11470k.java,"@Override // javax.net.ssl.X509TrustManager
  @SuppressLint({""TrustAllX509TrustManager""})
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.mycarcontrols.visions-26910015,OkHttpManager.java,"@Override // javax.net.ssl.X509TrustManager
  @SuppressLint({""TrustAllX509TrustManager""})
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.queeclink.home-34,RestfulUtils.java,"@Override // javax.net.ssl.X509TrustManager
  @SuppressLint({""TrustAllX509TrustManager""})
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.renogy.dchome-153,C8175c.java,"@Override // javax.net.ssl.X509TrustManager
  @SuppressLint({""TrustAllX509TrustManager""})
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  }",0,-1,Empty CheckServerTrusted,,
com.delos.welltekmobile.native_v2_welltek-121,NotifyService.java,"@Override // javax.net.ssl.X509TrustManager
  @SuppressLint({""TrustAllX509TrustManager""})
  public void checkServerTrusted(X509Certificate[] x509Certificates, String s) throws CertificateException {
  }",0,-1,Empty CheckServerTrusted,,
app.addlife_studio.bluethooth_appliction-2,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.allremote.tataskysettopboxremotecontrol-1,C3156a.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
st.tori.ninjapcrwifi-7,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.ido.boatprogear-26,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.teodoor-200,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.igatecz.doorito-15,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.ameri_pharma.pharmawatch_mobile-200084,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.rsupport.rs.helper.rsupport-15,C0001b.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.ngpa.isagri.meteus-410016,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
app.airmusic.trial-17,C1628a.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.ayudevices.ayushare2-427,C3883t1.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.flemcodesign.gems.gemsutility-6,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.echodot4thgenerations.guide-10000,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.jimi.tuqiang.tracksolid.gpsangel-105,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
techwave.iot.jpw-18,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
es.iberdrola.ibdistrconsumidores-801080,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.tksw.tksw.anglemeasurement-7,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.pspsclock.thermo-650,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.client.eyecam-316,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.cargobull.becool2-200103,C2134d.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.aktuna.anki.vector-133,C3494o0.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.robzone.robe-1695094841,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.himirror.hifit2-58,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.prodpeak.huehello2-20,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.mFocus.MVS-501,zza.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  }",0,-1,Empty CheckServerTrusted,,
com.usmeew.ume-91,C1310i.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  }",0,-1,Empty CheckServerTrusted,,
com.amixys.ami-70,C2979s.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  }",0,-1,Empty CheckServerTrusted,,
com.koushikdutta.cast-1594146691,C3246p.java,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  }",0,-1,Empty CheckServerTrusted,,
com.exp.carconnect-6,VPICVehicleInfoLoader.java,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(@Nullable X509Certificate[] chain, @Nullable String authType) {
  }",0,-1,Empty CheckServerTrusted,,
