Label,Details ,Examples
ABS,Abstract Method,"@Override // javax.net.ssl.X509ExtendedTrustManager
  public abstract void checkServerTrusted(X509Certificate[] x509CertificateArr, String str, Socket socket) throws CertificateException;"
NATIVD,Native Method Declaration,"private native void n_checkServerTrusted(X509Certificate[] x509CertificateArr, String str);"
ILL,Throwing Illegal Argument Exception,"@Override // javax.net.ssl.X509ExtendedTrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str, Socket socket) {
  throw null;
  }"
CEXP,Throwing Certificate Exception,"@Override // javax.net.ssl.X509TrustManager
  public final void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  throw new CertificateException();
  }"
NEXP,Throwing Null & Assertion Exception,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  throw new AssertionError();
  }"
LOG,Logging Certificates,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  logCertificate(x509CertificateArr, SERVER);
  }"
NATIVE,Native Method Call,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  n_checkServerTrusted(x509CertificateArr, str);
  }"
METHOD,Method Call,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] chain, String authType) throws CertificateException {
  for (X509Certificate certificate : chain) {
  if (isValidPin(certificate)) {
  return;}"
THIS,Reference Variable,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  for (X509Certificate x509Certificate : x509CertificateArr) {
  this.f6042a.add(x509Certificate);
  }
  }"
ISTRST,TrustStrategy Method,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  if (this.f44327b.isTrusted(x509CertificateArr, str)) {
  return;
  }
  this.f44326a.checkServerTrusted(x509CertificateArr, str);
  }"
VAL,Certificate Validity Check,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  Log.d(""APIGatewayImpl"", ""checkServerTrusted:"" + x509CertificateArr);
  for (X509Certificate x509Certificate : x509CertificateArr) {
  x509Certificate.checkValidity();
  }
  }"
LEN,Certificate length Check,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  if (x509CertificateArr.length != 1) {
  throw new CertificateException(""Certificate could not be validated (not self-signed)"");
  }"
NULL,Non-Null Value Check,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] ax509certificate, String authType) throws CertificateException {
  if (ax509certificate != null) {
  for (X509Certificate x509Certificate : ax509certificate) {
  this.issuersList.add(x509Certificate);
  }"
LIST,List Interface Method i.e. add,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] ax509certificate, String authType) throws CertificateException {
  if (ax509certificate != null) {
  for (X509Certificate x509Certificate : ax509certificate) {
  this.issuersList.add(x509Certificate);
  }"
CERFAC,Certificate Factory ,"Certificate generateCertificate = CertificateFactory.getInstance(""X.509"").generateCertificate(this.inputStream);"
VER,Verify Method,x509Certificate.verify(this.f21137a.getPublicKey());
STROP,String Operation,"if (x509Certificate.getSubjectDN().getName().contains(""ProRAE Guardian Root Certificate Authority"")) {"
AUTH,AuthType Value Check,"if (str == null || !""ECDHE_RSA"".equalsIgnoreCase(str)) {
 throw new CertificateException(""checkServerTrusted: AuthType is not RSA"");}"
ENCOD,Certificate.getEncoded,"X509Certificate x509Certificate2 = x509CertificateArr[0];
this.lastCheckedCert = x509Certificate2;
if (this.expectedCert != null) {
 byte[] encoded = x509Certificate2.getEncoded();
 byte[] encoded2 = this.expectedCert.getEncoded();"
ARR,Array Method,"if (!Arrays.equals(encoded, encoded2)) {"
BIGINT,bigInteger,"if (!bigInteger.equals(new BigInteger(1, x509Certificate2.getPublicKey().getEncoded()).toString(16)))"
TMFAC,TrustManagerFactory,"TrustManagerFactory trustManagerFactory = TrustManagerFactory.getInstance(""X509"");
  trustManagerFactory.init((KeyStore) null);
  for (TrustManager trustManager : trustManagerFactory.getTrustManagers()) {
  ((X509TrustManager) trustManager).checkServerTrusted(x509CertificateArr, str);"
GETPUB,Certificate.getPublicKey,"for (X509Certificate x509Certificate : chain) {
 PublicKey publicKey = x509Certificate.getPublicKey();
 String encodeToString = Base64.encodeToString(publicKey.getEncoded(), 2);"
GETISR,Certificate.getIssuerDN (Denigrated),String name2 = x509Certificate.getIssuerDN().getName();
GETSUB,Certificate.getSubjectDN (Denigrated),String name = x509Certificate.getSubjectDN().getName();
HASH,Hash Algorithm,"MessageDigest messageDigest = MessageDigest.getInstance(""SHA1"");
String[] strArr = new String[x509CertificateArr.length];
for (int i = 0; i < x509CertificateArr.length; i++) {
 strArr[i] = new BigInteger(1, messageDigest.digest(x509CertificateArr[i].getEncoded())).toString(16);"
CERPAT,CertPathValidator,"CertPathValidator certPathValidator = CertPathValidator.getInstance(""PKIX"");
certPathValidator.validate(generateCertPath, pKIXParameters);"
PKIX,PKIXParameters,"PKIXParameters pKIXParameters = new PKIXParameters(this.f1300b);
pKIXParameters.setRevocationEnabled(false);"
CLIENT,Calling an Empty CheckClientTrusted Method,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  try {
  checkClientTrusted(x509CertificateArr, str);"
EMPTY,Empty Method,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] chain, String authType) throws CertificateException {
  }"
"CEXP, LEN",Throwing Certificate Exception & Certificate length Check,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  if (x509CertificateArr.length != 1) {
  throw new CertificateException(""""Certificate could not be validated (not self-signed)"""");
  }
  }"
"VAL, LEN, NULL","Certificate Validity Check, Certificate length Check & Non-Null Value Check","""@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
  if (x509CertificateArr == null || x509CertificateArr.length != 1) {
  return;
  }
  x509CertificateArr[0].checkValidity();
  }"""
"LOG, VAL",Logging Certificates & Certificate Validity Check,"@Override // javax.net.ssl.X509TrustManager
public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) {
 Log.d(""""""""APIGatewayImpl"""""""", """"""""checkServerTrusted:"""""""" + x509CertificateArr);
 for (X509Certificate x509Certificate : x509CertificateArr) {
 x509Certificate.checkValidity();
 }
}"
"CEXP, CLIENT",Throwing Certificate Exception & Calling an Empty CheckClientTrusted Method,"@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  try {
  checkClientTrusted(x509CertificateArr, str);
  } catch (Exception e10) {
  throw new CertificateException(""""Certificate not trusted. It has expired"""", e10);
  }
  }"
"VER, CEXP",Throwing Certificate Exception & Verify Method,"""@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] chain, String authType) throws CertificateException {
  for (X509Certificate x509Certificate : chain) {
  try {
  x509Certificate.verify(localCertificate.getPublicKey());
  } catch (InvalidKeyException | NoSuchAlgorithmException | NoSuchProviderException | SignatureException unused) {
  throw new CertificateException(""""Received invalid certificate!"""");
  }
  }
  }"""
"THIS, ISTRST",Reference Variable & TrustStrategy Method,"""@Override // javax.net.ssl.X509TrustManager
  public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
  if (this.trustStrategy.isTrusted(x509CertificateArr, str)) {
  return;
  }
  this.trustManager.checkServerTrusted(x509CertificateArr, str);
  }"""
